Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
1/17/2019,3298.0,,,3298.0,0.0,0,0,0
1/16/2019,3298.0,,,3298.0,0.0,0,0,0
1/15/2019,3298.0,,,3298.0,0.0,0,0,0
1/14/2019,3298.0,,,3298.0,0.0,0,0,0
1/11/2019,3298.0,,,3298.0,0.0,0,0,0
1/10/2019,3298.0,,,3298.0,0.0,0,0,0
1/9/2019,3298.0,,,3298.0,0.0,0,0,0
1/8/2019,3298.0,,,3298.0,0.0,0,0,0
1/4/2019,3298.0,,,3298.0,0.0,0,0,0
1/3/2019,3298.0,,,3298.0,0.0,0,0,0
1/2/2019,3298.0,,,3298.0,0.0,0,0,0
12/28/2018,3298.0,,,3298.0,0.0,0,0,0
12/27/2018,3298.0,,,3298.0,0.0,0,0,0
12/26/2018,3298.0,,,3298.0,0.0,0,0,0
12/25/2018,3298.0,,,3298.0,0.0,0,0,0
12/24/2018,3298.0,,,3298.0,0.0,0,0,0
12/21/2018,3298.0,,,3298.0,0.0,0,0,0
12/20/2018,3298.0,,,3298.0,0.0,0,0,0
12/19/2018,3298.0,,,3298.0,0.0,0,0,0
12/18/2018,3298.0,,,3298.0,0.0,0,0,0
12/17/2018,3298.0,,,3298.0,0.0,0,0,0
12/14/2018,3298.0,,,3298.0,0.0,0,0,0
12/13/2018,3298.0,,,3298.0,0.0,0,0,0
12/12/2018,3298.0,,,3298.0,0.0,0,0,0
12/11/2018,3298.0,,,3298.0,0.0,0,0,0
12/10/2018,3298.0,,,3298.0,0.0,0,0,0
12/7/2018,3298.0,,,3298.0,0.0,0,0,0
12/6/2018,3298.0,,,3298.0,0.0,0,0,0
12/5/2018,3298.0,,,3298.0,0.0,0,0,0
12/4/2018,3298.0,,,3298.0,0.0,0,0,0
12/3/2018,3298.0,,,3298.0,0.0,0,0,0
11/30/2018,3298.0,,,3298.0,0.0,0,0,0
11/29/2018,3298.0,,,3298.0,0.0,0,0,0
11/28/2018,3298.0,,,3298.0,0.0,0,0,0
11/27/2018,3298.0,,,3298.0,0.0,0,0,0
11/26/2018,3298.0,,,3298.0,0.0,0,0,0
11/23/2018,3298.0,,,3298.0,0.0,0,0,0
11/22/2018,3298.0,,,3298.0,0.0,0,0,0
11/21/2018,3298.0,,,3298.0,0.0,0,0,0
11/20/2018,3298.0,,,3298.0,0.0,0,0,0
11/19/2018,3298.0,,,3298.0,0.0,0,0,0
11/16/2018,3298.0,,,3298.0,0.0,0,0,0
11/15/2018,3298.0,,,3298.0,0.0,0,0,0
11/14/2018,3298.0,,,3298.0,0.0,0,0,0
11/13/2018,3298.0,,,3298.0,0.0,0,0,0
11/12/2018,3298.0,,,3298.0,0.0,0,0,0
11/12/2018,3298.0,,,3298.0,0.0,0,0,0
11/9/2018,3298.0,,,3298.0,0.0,0,0,0
11/8/2018,3298.0,,,3298.0,0.0,0,0,0
11/7/2018,3298.0,,,3298.0,0.0,0,0,0
11/6/2018,3298.0,,,3298.0,0.0,0,0,0
11/5/2018,3298.0,,,3298.0,0.0,0,0,0
11/2/2018,3298.0,,,3298.0,0.0,0,0,0
11/1/2018,3298.0,,,3298.0,0.0,0,0,0
10/31/2018,3298.0,,,3298.0,0.0,0,0,0
10/30/2018,3298.0,,,3298.0,0.0,0,0,0
10/29/2018,3298.0,,,3298.0,0.0,0,0,0
10/26/2018,3298.0,,,3298.0,0.0,0,0,0
10/25/2018,3298.0,,,3298.0,0.0,0,0,0
10/24/2018,3298.0,,,3298.0,0.0,0,0,0
10/22/2018,3298.0,,,3298.0,0.0,0,0,0
10/19/2018,3298.0,,,3298.0,0.0,0,0,0
10/18/2018,3298.0,,,3298.0,0.0,0,0,0
10/17/2018,3298.0,,,3298.0,0.0,0,0,0
10/16/2018,3298.0,,,3298.0,0.0,0,0,0
10/15/2018,3298.0,,,3298.0,0.0,0,0,0
10/12/2018,3298.0,,,3298.0,0.0,0,0,0
10/10/2018,3298.0,,,3298.0,0.0,0,0,0
10/9/2018,3298.0,,,3298.0,0.0,0,0,0
10/8/2018,3298.0,,,3298.0,0.0,0,0,0
10/5/2018,3298.0,,,3298.0,0.0,0,0,0
10/4/2018,3298.0,,,3298.0,0.0,0,0,0
10/3/2018,3298.0,,,3298.0,0.0,0,0,0
10/2/2018,3298.0,,,3298.0,0.0,0,0,0
10/1/2018,3298.0,,,3298.0,0.0,0,0,0
9/28/2018,3298.0,,,3298.0,0.0,0,0,0
9/27/2018,3298.0,,,3298.0,0.0,0,0,0
9/26/2018,3298.0,,,3298.0,0.0,0,0,0
9/25/2018,3298.0,,,3298.0,0.0,0,0,0
9/24/2018,3298.0,,,3298.0,0.0,0,0,0
9/21/2018,3298.0,,,3298.0,0.0,0,0,0
9/20/2018,3298.0,,,3298.0,0.0,0,0,0
9/19/2018,3298.0,,,3298.0,0.0,0,0,0
9/18/2018,3298.0,,,3298.0,0.0,0,0,0
9/17/2018,3298.0,,,3298.0,0.0,0,0,0
9/14/2018,3298.0,,,3298.0,0.0,0,0,0
9/13/2018,3298.0,,,3298.0,0.0,0,0,0
9/12/2018,3298.0,,,3298.0,0.0,0,0,0
9/11/2018,3298.0,,,3298.0,0.0,0,0,0
9/10/2018,3298.0,,,3298.0,0.0,0,0,0
9/7/2018,3298.0,,,3298.0,0.0,0,0,0
9/6/2018,3298.0,,,3298.0,0.0,0,0,0
9/5/2018,3298.0,,,3298.0,0.0,0,0,0
9/4/2018,3298.0,,,3298.0,0.0,0,0,0
9/3/2018,3298.0,,,3298.0,0.0,0,0,0
8/31/2018,3298.0,,,3298.0,0.0,0,0,0
8/30/2018,3298.0,,,3298.0,0.0,0,0,0
8/29/2018,3298.0,,,3298.0,0.0,0,0,0
8/27/2018,3298.0,,,3298.0,0.0,0,0,0
8/24/2018,3298.0,,,3298.0,0.0,0,0,0
8/23/2018,3298.0,,,3298.0,0.0,0,0,0
8/22/2018,3298.0,,,3298.0,0.0,0,0,0
8/21/2018,3298.0,,,3298.0,0.0,0,0,0
8/20/2018,3298.0,,,3298.0,0.0,0,0,0
8/17/2018,3298.0,,,3298.0,0.0,0,0,0
8/16/2018,3298.0,,,3298.0,0.0,0,0,0
8/15/2018,3298.0,,,3298.0,0.0,0,0,0
8/14/2018,3298.0,,,3298.0,0.0,0,0,0
8/13/2018,3298.0,,,3298.0,0.0,0,0,0
8/10/2018,3298.0,,,3298.0,0.0,0,0,0
8/9/2018,3298.0,,,3298.0,0.0,0,0,0
8/8/2018,3298.0,,,3298.0,0.0,0,0,0
8/7/2018,3298.0,,,3298.0,0.0,0,0,0
8/6/2018,3298.0,,,3298.0,0.0,0,0,0
8/3/2018,3298.0,,,3298.0,0.0,0,0,0
8/1/2018,3298.0,,,3298.0,0.0,0,0,0
7/31/2018,3298.0,,,3298.0,0.0,0,0,0
7/30/2018,3298.0,,,3298.0,0.0,0,0,0
7/27/2018,3298.0,,,3298.0,0.0,0,0,0
